City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,viedma,-40.8135,-62.9967,36.33000000000004,18,5,10.68,AR,1670264998
66,libreville,0.3925,9.4537,27.0,81,69,2.45,GA,1670264999
67,bonthe,7.5264,-12.505,26.710000000000036,81,89,2.75,SL,1670264999
68,lagoa,39.05,-27.9833,15.860000000000014,73,62,5.77,PT,1670265000
69,eten,-6.9081,-79.8642,25.140000000000043,53,0,8.75,PE,1670265001
70,ahipara,-35.1667,173.1667,16.29000000000002,84,100,2.08,NZ,1670265001
71,la rioja,42.25,-2.5,0.8799999999999955,91,100,1.71,ES,1670265011
72,torbay,47.6666,-52.7314,5.160000000000025,95,100,4.12,CA,1670265015
73,santa rosa,14.3122,121.1114,26.160000000000025,88,99,3.29,PH,1670264785
74,busselton,-33.65,115.3333,13.25,84,1,6.01,AU,1670265018
75,butaritari,3.0707,172.7902,27.08000000000004,81,100,7.19,KI,1670265020
76,mar del plata,-38.0023,-57.5575,33.79000000000002,81,0,7.15,AR,1670265024
77,maragogi,-9.0122,-35.2225,26.05000000000001,81,86,5.21,BR,1670265034
78,beaverlodge,55.2166,-119.4361,-14.359999999999957,91,100,2.7,CA,1670265035
79,vaini,-21.2,-175.2,24.090000000000032,94,75,2.06,TO,1670265035
80,dikson,73.5069,80.5464,-3.849999999999966,95,100,6.74,RU,1670265036
81,rypefjord,70.6333,23.6667,2.2600000000000477,100,75,4.63,NO,1670265037
82,thompson,55.7435,-97.8558,-28.909999999999968,63,20,3.6,CA,1670264798
83,port alfred,-33.5906,26.891,15.660000000000025,90,0,0.89,ZA,1670265037
84,lompoc,34.6391,-120.4579,15.850000000000023,81,20,1.54,US,1670264858
85,talnakh,69.4865,88.3972,-3.769999999999982,96,100,6.12,RU,1670265038
86,norman wells,65.282,-126.8329,-29.97999999999999,76,75,4.12,CA,1670265039
87,lebu,-37.6167,-73.65,17.439999999999998,67,3,2.88,CL,1670265040
88,hamilton,39.1834,-84.5333,9.800000000000011,53,40,3.09,US,1670264758
89,ketchikan,55.3422,-131.6461,-1.7399999999999523,93,20,0.0,US,1670265040
90,husavik,66.0449,-17.3389,-0.3199999999999932,81,83,4.77,IS,1670265041
91,chirongui,-12.9319,45.1483,23.960000000000036,78,6,4.46,YT,1670265042
92,ancud,-41.8697,-73.8203,13.230000000000018,94,100,8.88,CL,1670265042
93,hlukhiv,51.6782,33.9162,-7.139999999999986,61,87,4.52,UA,1670265043
94,haines junction,60.7522,-137.5108,-13.42999999999995,98,92,0.91,CA,1670265043
95,honiara,-9.4333,159.95,24.54000000000002,87,100,1.41,SB,1670265044
96,kruisfontein,-34.0033,24.7314,16.600000000000023,85,1,3.81,ZA,1670265044
97,mudgal,16.0167,76.4333,21.57000000000005,52,81,3.95,IN,1670265045
98,carnarvon,-24.8667,113.6333,20.629999999999995,77,50,7.59,AU,1670265046
99,turukhansk,65.8167,87.9833,-4.089999999999975,96,100,6.06,RU,1670265046
100,hobyo,5.3505,48.5268,26.890000000000043,78,100,7.32,SO,1670265047
101,aklavik,68.2191,-135.0107,-25.409999999999968,87,100,10.12,CA,1670265047
102,norilsk,69.3535,88.2027,-3.6499999999999773,96,100,7.15,RU,1670265048
103,yenagoa,4.9247,6.2642,26.920000000000016,81,58,3.21,NG,1670265048
104,ribeira grande,38.5167,-28.7,17.220000000000027,67,20,11.18,PT,1670265049
105,severnyy,50.677,36.5532,-9.979999999999961,79,0,3.0,RU,1670265050
106,impfondo,1.6381,18.0667,23.590000000000032,83,100,0.35,CG,1670265051
107,grindavik,63.8424,-22.4338,-2.0299999999999727,100,20,1.54,IS,1670265052
108,oudtshoorn,-33.5907,22.2014,16.200000000000045,71,51,2.95,ZA,1670265053
109,kichera,55.9375,110.0997,-13.67999999999995,86,100,2.64,RU,1670265053
110,glendive,47.1053,-104.7125,-5.839999999999975,76,100,3.09,US,1670265054
111,douala,4.0483,9.7043,26.75,82,39,3.19,CM,1670265055
112,estelle,29.8458,-90.1067,25.0,75,75,5.66,US,1670265056
113,benjamin aceval,-24.9667,-57.5667,34.22000000000003,30,15,1.0,PY,1670265056
114,port elizabeth,-33.918,25.5701,17.83000000000004,91,20,6.26,ZA,1670265057
115,zhangjiakou,40.81,114.8794,-9.279999999999973,32,0,1.85,CN,1670265058
116,hobart,-42.8794,147.3294,10.920000000000016,72,75,7.2,AU,1670265058
117,tilichiki,60.4667,166.1,-11.609999999999957,78,100,4.88,RU,1670265059
118,vallenar,-28.5708,-70.7581,29.420000000000016,32,0,5.02,CL,1670265059
119,atlantic beach,30.3344,-81.3987,24.060000000000002,70,75,3.09,US,1670265060
120,anicuns,-16.4611,-49.9617,27.100000000000023,56,100,2.57,BR,1670265061
121,winnemucca,40.973,-117.7357,1.0300000000000296,80,40,5.14,US,1670265061
122,ogembo,-0.7984,34.7253,16.80000000000001,71,100,1.34,KE,1670265079
123,santa cruz,-17.8,-63.1667,37.03000000000003,34,40,4.12,BO,1670264905
124,hualmay,-11.0964,-77.6139,21.939999999999998,71,12,3.88,PE,1670265084
125,vila franca do campo,37.7167,-25.4333,17.33000000000004,78,76,5.51,PT,1670265089
126,bauchi,10.5,10.0,21.140000000000043,19,2,1.7,NG,1670265091
127,te anau,-45.4167,167.7167,10.150000000000034,97,100,0.81,NZ,1670265092
128,phan thiet,10.9333,108.1,24.05000000000001,89,100,2.33,VN,1670265093
129,astolfo dutra,-21.3153,-42.8622,23.53000000000003,87,100,0.83,BR,1670265093
130,bambous virieux,-20.3428,57.7575,25.140000000000043,73,40,4.63,MU,1670265094
131,ouadda,8.0777,22.4007,24.660000000000025,31,13,2.7,CF,1670265094
132,muros,42.7762,-9.0603,12.830000000000041,83,89,2.27,ES,1670264907
133,narsaq,60.9167,-46.05,-4.2099999999999795,71,60,4.54,GL,1670265095
134,tuatapere,-46.1333,167.6833,8.470000000000027,95,100,2.53,NZ,1670265096
135,comandau,45.7667,26.2667,-2.849999999999966,95,100,2.2,RO,1670265096
136,almirante tamandare,-25.3247,-49.31,25.82000000000005,65,75,3.09,BR,1670265097
137,paciran,-6.8767,112.3761,26.590000000000032,79,100,1.0,ID,1670265097
138,sanmenxia,34.7747,111.1814,2.920000000000016,53,50,0.42,CN,1670265098
139,oranjemund,-28.55,16.4333,16.0,80,32,7.16,NA,1670265098
140,buala,-8.145,159.5921,26.460000000000036,83,100,2.81,SB,1670265099
141,roma,43.2128,-75.4557,8.79000000000002,35,0,6.17,US,1670265100
142,airai,-8.9266,125.4092,15.07000000000005,72,100,0.65,TL,1670265100
143,isla vista,34.4133,-119.861,17.660000000000025,61,0,2.57,US,1670265101
144,barrow,71.2906,-156.7887,3.0100000000000477,70,0,14.4,US,1670265101
145,leshukonskoye,64.8989,45.7622,-8.539999999999964,93,100,3.78,RU,1670265102
146,sur,22.5667,59.5289,23.370000000000005,61,0,1.22,OM,1670265103
147,kavieng,-2.5744,150.7967,26.610000000000014,81,100,2.04,PG,1670265104
148,polaniec,50.4332,21.2812,3.2800000000000296,93,99,0.45,PL,1670265104
149,panzhihua,26.5851,101.7128,8.520000000000039,72,0,0.79,CN,1670265105
150,verkhnyaya inta,65.9811,60.3094,-16.649999999999977,98,99,2.61,RU,1670265105
151,catuday,16.2923,119.8062,25.58000000000004,80,100,3.65,PH,1670265107
152,gobabis,-22.45,18.9667,26.77000000000004,22,76,3.04,NA,1670265107
153,bandarbeyla,9.4942,50.8122,25.590000000000032,75,24,8.95,SO,1670265108
154,pueblo,38.2545,-104.6091,17.970000000000027,25,0,9.26,US,1670265108
155,emerald,-23.5333,148.1667,22.430000000000007,58,1,2.84,AU,1670264916
156,hami,42.8,93.45,-4.8700000000000045,33,100,0.24,CN,1670265109
157,florianopolis,-27.6146,-48.5012,24.670000000000016,82,75,6.17,BR,1670265110
158,mareeba,-17.0,145.4333,18.58000000000004,91,4,1.01,AU,1670265111
159,sao jose da coroa grande,-8.8978,-35.1478,26.140000000000043,80,65,5.49,BR,1670265111
160,half moon bay,37.4636,-122.4286,14.78000000000003,86,0,4.12,US,1670265112
161,ikom,5.9667,8.7063,29.07000000000005,38,47,1.1,NG,1670265113
162,kenai,60.5544,-151.2583,-3.25,93,100,4.63,US,1670265113
163,yermakovskoye,53.2831,92.4003,-25.399999999999977,98,6,0.27,RU,1670265114
164,gizo,-8.103,156.8419,27.439999999999998,74,100,1.6,SB,1670265114
165,alexandria,31.2156,29.9553,19.480000000000018,62,59,5.15,EG,1670264867
166,caiaponia,-16.9567,-51.8103,29.24000000000001,44,95,4.57,BR,1670265115
167,keta,5.9179,0.9879,27.850000000000023,78,31,4.88,GH,1670265115
168,oranjestad,12.524,-70.027,28.970000000000027,67,20,4.63,AW,1670265117
169,hamakita,34.8,137.7833,9.350000000000023,79,100,1.94,JP,1670265117
170,lalibela,12.0333,39.0333,14.480000000000018,41,10,3.33,ET,1670265118
